image,seed_type,soil_moisture,temperature,humidity,rainfall,soil_ph,viability_latent,germination_probability,germinated
seed_00000.png,Proso Millet,56.25,25.48,89.27,1.25,7.091,0.744,0.6479,1
seed_00001.png,Barnyard Millet,71.83,23.18,63.11,13.32,6.37,0.694,0.6616,1
seed_00002.png,Finger Millet,87.11,26.21,55.4,186.11,6.479,0.617,0.4772,0
seed_00003.png,Foxtail Millet,49.05,26.54,35.99,43.33,7.148,0.668,0.4609,0
seed_00004.png,Barnyard Millet,76.48,30.48,67.35,131.64,5.891,0.722,0.5446,1
seed_00005.png,Pearl Millet,55.5,27.25,60.34,101.33,6.234,0.986,0.9058,1
seed_00006.png,Proso Millet,60.56,25.25,76.06,104.27,5.352,0.861,0.8427,1
seed_00007.png,Proso Millet,38.54,25.55,69.63,24.85,5.727,0.146,0.1488,0
seed_00008.png,Proso Millet,29.59,11.3,68.03,13.55,6.759,0.268,0.0104,0
seed_00009.png,Kodo Millet,88.32,23.7,73.2,66.91,7.171,0.856,0.5599,0
seed_00010.png,Little Millet,49.15,30.2,62.04,26.06,5.496,0.248,0.1748,0
seed_00011.png,Barnyard Millet,66.31,18.43,41.65,273.14,6.637,0.812,0.2465,0
seed_00012.png,Little Millet,55.74,21.71,42.11,169.96,5.453,0.232,0.1775,0
seed_00013.png,Foxtail Millet,57.87,21.2,95.68,54.55,4.845,0.701,0.3258,0
seed_00014.png,Foxtail Millet,57.06,34.54,65.67,75.96,4.836,0.716,0.2482,0
seed_00015.png,Pearl Millet,57.81,21.48,89.6,11.48,6.229,0.557,0.578,1
seed_00016.png,Foxtail Millet,45.7,30.7,75.13,45.94,7.616,0.917,0.7613,0
seed_00017.png,Kodo Millet,62.85,20.76,46.93,1.49,7.039,0.468,0.5922,0
seed_00018.png,Finger Millet,52.56,26.57,74.76,94.75,5.888,0.673,0.6282,0
seed_00019.png,Barnyard Millet,39.1,27.82,68.7,30.65,6.243,0.775,0.5232,1
seed_00020.png,Pearl Millet,65.76,39.84,47.84,188.6,7.217,0.711,0.3761,0
seed_00021.png,Foxtail Millet,48.74,33.37,70.59,97.18,6.561,0.259,0.2717,0
seed_00022.png,Proso Millet,73.78,34.19,50.88,20.42,6.541,0.66,0.7216,0
seed_00023.png,Finger Millet,69.71,16.18,52.68,77.55,4.594,0.899,0.2267,0
seed_00024.png,Proso Millet,44.92,32.56,61.03,13.22,6.639,0.644,0.6379,1
seed_00025.png,Proso Millet,32.96,30.04,66.81,35.85,6.812,0.445,0.2263,0
seed_00026.png,Little Millet,81.32,29.39,53.03,4.73,6.767,0.559,0.3887,0
seed_00027.png,Proso Millet,56.4,17.8,55.8,69.32,7.075,0.644,0.4742,1
seed_00028.png,Barnyard Millet,60.38,23.94,65.48,59.67,6.752,0.737,0.6959,0
seed_00029.png,Foxtail Millet,43.42,19.22,60.62,31.29,6.267,0.233,0.2075,0
seed_00030.png,Barnyard Millet,48.07,24.84,74.08,74.2,7.9,0.582,0.3384,0
seed_00031.png,Finger Millet,75.07,19.46,54.88,63.08,4.339,0.909,0.0853,0
seed_00032.png,Barnyard Millet,66.14,29.62,64.27,103.14,6.731,0.338,0.3811,0
seed_00033.png,Little Millet,15.75,17.39,41.49,62.9,4.948,0.768,0.01,0
seed_00034.png,Pearl Millet,98.0,25.75,55.61,39.31,7.594,0.872,0.3545,0
seed_00035.png,Finger Millet,68.73,32.18,45.83,61.88,7.025,0.698,0.8059,1
seed_00036.png,Kodo Millet,65.34,20.58,49.13,107.81,6.556,0.955,0.8659,1
seed_00037.png,Little Millet,55.99,25.52,58.69,73.8,7.402,0.522,0.6033,1
seed_00038.png,Foxtail Millet,43.97,21.5,74.91,10.89,5.927,0.481,0.3275,0
seed_00039.png,Proso Millet,76.18,32.25,83.33,33.85,6.282,0.736,0.6799,1
seed_00040.png,Proso Millet,74.38,31.38,65.49,154.24,5.955,0.756,0.8332,1
seed_00041.png,Finger Millet,68.15,34.03,72.1,8.29,7.668,0.217,0.1015,0
seed_00042.png,Finger Millet,68.12,30.2,47.92,57.6,6.455,0.602,0.7804,0
seed_00043.png,Finger Millet,63.74,32.01,94.48,44.8,6.336,0.318,0.1677,0
seed_00044.png,Pearl Millet,53.61,34.95,83.76,137.11,6.077,0.699,0.6446,1
seed_00045.png,Finger Millet,57.32,28.77,48.77,13.41,6.254,0.504,0.7259,1
seed_00046.png,Foxtail Millet,50.16,23.76,73.74,5.59,6.22,0.488,0.3743,0
seed_00047.png,Foxtail Millet,89.0,39.69,67.17,4.17,6.102,0.295,0.0514,0
seed_00048.png,Barnyard Millet,71.85,24.94,51.09,46.6,7.495,0.529,0.4196,0
seed_00049.png,Finger Millet,70.75,33.56,63.87,7.92,6.824,0.638,0.5663,0
seed_00050.png,Little Millet,59.14,41.06,71.33,30.78,6.274,0.666,0.249,0
seed_00051.png,Proso Millet,51.34,21.64,81.38,162.59,5.121,0.179,0.048,0
seed_00052.png,Little Millet,52.69,30.57,80.9,9.3,7.18,0.234,0.2583,1
seed_00053.png,Kodo Millet,32.94,24.18,57.36,222.71,6.856,0.564,0.1134,0
seed_00054.png,Barnyard Millet,49.65,15.7,73.87,41.58,6.732,0.54,0.1928,0
seed_00055.png,Kodo Millet,68.83,24.43,51.83,98.1,6.386,0.435,0.522,0
seed_00056.png,Finger Millet,62.93,26.61,73.85,1.55,6.702,0.516,0.7703,0
seed_00057.png,Foxtail Millet,82.1,19.81,83.81,12.0,6.08,0.804,0.3631,1
seed_00058.png,Kodo Millet,71.33,23.43,73.46,54.84,5.685,0.899,0.8069,1
seed_00059.png,Proso Millet,68.25,17.6,77.72,70.8,8.396,0.479,0.08,0
seed_00060.png,Pearl Millet,52.61,24.11,60.5,8.04,7.124,0.715,0.7796,1
seed_00061.png,Pearl Millet,62.69,32.85,63.22,7.99,5.789,0.647,0.766,1
seed_00062.png,Proso Millet,61.94,23.12,46.52,39.49,4.566,0.577,0.3555,1
seed_00063.png,Kodo Millet,81.59,33.35,59.05,33.61,6.264,0.519,0.5258,0
seed_00064.png,Foxtail Millet,70.75,30.95,50.39,1.44,5.821,0.327,0.2583,0
seed_00065.png,Kodo Millet,59.99,32.74,63.75,114.48,5.438,0.598,0.3745,1
seed_00066.png,Foxtail Millet,62.96,26.97,65.08,38.52,5.239,0.899,0.7236,1
seed_00067.png,Pearl Millet,46.55,24.1,93.61,38.06,7.596,0.705,0.4721,1
seed_00068.png,Finger Millet,66.47,23.04,62.97,71.74,7.306,0.503,0.6369,0
seed_00069.png,Foxtail Millet,71.3,21.99,72.72,7.16,7.419,0.256,0.3062,1
seed_00070.png,Finger Millet,31.5,30.96,96.34,51.71,5.628,0.93,0.444,1
seed_00071.png,Proso Millet,35.32,25.02,61.79,14.26,6.509,0.829,0.7243,0
