course_code,course_name,department_code,department_name
ACF-101,Principles of Accounting,ACF,Accounting & Finance
ACF-102,Business Mathematics,ACF,Accounting & Finance
ACF-103,Microeconomics,ACF,Accounting & Finance
ACF-201,Financial Reporting,ACF,Accounting & Finance
ACF-202,Corporate Finance,ACF,Accounting & Finance
ACF-203,Auditing and Assurance,ACF,Accounting & Finance
ACF-204,Taxation,ACF,Accounting & Finance
SWE-101,Programming Fundamentals,SWE,Software Engineering
SWE-102,Discrete Mathematics,SWE,Software Engineering
SWE-103,Computer Organisation,SWE,Software Engineering
SWE-201,Algorithms,SWE,Software Engineering
SWE-202,Database Systems,SWE,Software Engineering
SWE-203,Cloud Platforms,SWE,Software Engineering
SWE-204,Mobile Development,SWE,Software Engineering
DAN-101,Statistics I,DAN,Data Analytics
DAN-102,Spreadsheet Modelling,DAN,Data Analytics
DAN-103,Data Literacy,DAN,Data Analytics
DAN-201,Machine Learning Foundations,DAN,Data Analytics
DAN-202,Database Systems,DAN,Data Analytics
DAN-203,Data Visualisation,DAN,Data Analytics
DAN-204,Big Data Tools,DAN,Data Analytics
MCD-101,Engineering Drawing,MCD,Mechanical Design
MCD-102,Materials Science,MCD,Mechanical Design
MCD-103,Statics,MCD,Mechanical Design
MCD-201,Thermodynamics,MCD,Mechanical Design
MCD-202,Machine Design,MCD,Mechanical Design
MCD-203,CAD and CAM,MCD,Mechanical Design
MCD-204,Robotics,MCD,Mechanical Design
ELS-101,Circuit Theory,ELS,Electrical Systems
ELS-102,Electronic Devices,ELS,Electrical Systems
ELS-103,Applied Mathematics,ELS,Electrical Systems
ELS-201,Power Systems,ELS,Electrical Systems
ELS-202,Control Systems,ELS,Electrical Systems
ELS-203,Renewable Energy,ELS,Electrical Systems
ELS-204,Embedded Systems,ELS,Electrical Systems
BMG-101,Principles of Management,BMG,Business Management
BMG-102,Business Communication,BMG,Business Management
BMG-103,Organisational Behaviour,BMG,Business Management
BMG-201,Marketing Management,BMG,Business Management
BMG-202,Operations Management,BMG,Business Management
BMG-203,Human Resource Management,BMG,Business Management
BMG-204,Entrepreneurship,BMG,Business Management
HCA-101,Healthcare Systems,HCA,Healthcare Administration
HCA-102,Medical Terminology,HCA,Healthcare Administration
HCA-103,Health Informatics,HCA,Healthcare Administration
HCA-201,Hospital Operations,HCA,Healthcare Administration
HCA-202,Health Economics,HCA,Healthcare Administration
HCA-203,Quality and Patient Safety,HCA,Healthcare Administration
HCA-204,Healthcare Law,HCA,Healthcare Administration
