session_date,start_time,end_time,course_code,paper_group
2026-10-12,09:30,12:30,ACF-101,
2026-10-12,09:30,12:30,BMG-201,
2026-10-12,09:30,12:30,DAN-103,
2026-10-12,09:30,12:30,ELS-102,
2026-10-12,09:30,12:30,HCA-101,
2026-10-12,09:30,12:30,MCD-202,
2026-10-12,09:30,12:30,SWE-203,
2026-10-12,09:30,12:30,SWE-204,
2026-10-12,14:00,17:00,ACF-201,
2026-10-12,14:00,17:00,BMG-102,
2026-10-12,14:00,17:00,DAN-203,
2026-10-12,14:00,17:00,DAN-204,
2026-10-12,14:00,17:00,ELS-202,
2026-10-12,14:00,17:00,HCA-201,
2026-10-12,14:00,17:00,MCD-103,
2026-10-12,14:00,17:00,SWE-101,
2026-10-13,09:30,12:30,ACF-102,
2026-10-13,09:30,12:30,BMG-202,
2026-10-13,09:30,12:30,DAN-101,
2026-10-13,09:30,12:30,ELS-103,
2026-10-13,09:30,12:30,HCA-102,
2026-10-13,09:30,12:30,MCD-203,
2026-10-13,09:30,12:30,MCD-204,
2026-10-13,09:30,12:30,SWE-201,
2026-10-13,14:00,17:00,ACF-202,
2026-10-13,14:00,17:00,BMG-103,
2026-10-13,14:00,17:00,DAN-201,
2026-10-13,14:00,17:00,ELS-203,
2026-10-13,14:00,17:00,ELS-204,
2026-10-13,14:00,17:00,HCA-202,
2026-10-13,14:00,17:00,MCD-101,
2026-10-13,14:00,17:00,SWE-102,
2026-10-14,09:30,12:30,ACF-103,
2026-10-14,09:30,12:30,BMG-203,
2026-10-14,09:30,12:30,BMG-204,
2026-10-14,09:30,12:30,DAN-102,
2026-10-14,09:30,12:30,DAN-202,DB-COMMON
2026-10-14,09:30,12:30,ELS-101,
2026-10-14,09:30,12:30,HCA-103,
2026-10-14,09:30,12:30,MCD-201,
2026-10-14,09:30,12:30,SWE-202,DB-COMMON
2026-10-14,14:00,17:00,ACF-203,
2026-10-14,14:00,17:00,ACF-204,
2026-10-14,14:00,17:00,BMG-101,
2026-10-14,14:00,17:00,ELS-201,
2026-10-14,14:00,17:00,HCA-203,
2026-10-14,14:00,17:00,HCA-204,
2026-10-14,14:00,17:00,MCD-102,
2026-10-14,14:00,17:00,SWE-103,
