url,label
oac.cdlib.org/view?docId=tf4779n6xf;style=oac4;view=dsc,0
ww.ispscorp.com/Dir/WebHosting/YahooMail/email.html,1
astorwines.com/SearchResultsSingle.aspx?p=1&search=24064&searchtype=Contains,0
az745681.vo.msecnd.net/downloadguides/4a1b84da-b99f-4dfe-9e1<br/>9-8bdf403f18e3/excel.exe,1
hollywoodreporter.com/race/academy-foreign-language-oscar-list-248326,0
nydailynews.com/topics/Kansas+City+Royals/20,0
zanasseraboti.org.mk/select/yaho/byte/index.php,1
last.fm/music/Our+Lady+Peace/_/Clumsy,0
lacasitadesanangel.iap.org.mx/imass/adobe/user/login/index.htm,1
manta.com/c/mmcc0v9/kansas-city-terminal-railway-company,0
letsbuyit.co.uk/books-music-films/books/subject-specific-literature/english-language-linguistics-books/,0
gaagledac.dullesgeotechnical.com/nD,1
www.injected.cc/nccvbv/index.php,1
lpmxp1006.com,1
lead411.com/Curt_Parsons_4976278.html,0
www.ufaha.top/hbxitilk8fe-fe5sddfppkkfrdbmi9bbc-mnsrlt2pf8nbfln5oapa3dbmrimnksmpk-r4sfkd6brpseptc-dnipmapk-2l1ept-7f-fker7bpkbrbrt-tr9c/,1
colecciongourmet.com/system/logs/DoCuSigN/DoCuSigN,1
95.47.161.41/module/272a5ad4a1b97a2ac874d6d3e5fff01d,1
en.wikipedia.org/wiki/Cathedral,0
goaztecs.cstv.com/,0
78.72.233.105/limto1.tar,1
spefo.org.pe/admin/cache/ys/Alibaba/?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4,1
filmdistributors.biz/,0
naylorautomotiveengineering.com/,0
rcadd.org/Google/index.php,1
ovguide.com/tv_season/extreme-dodgeball-season-1-74665,0
youtube.com/watch?v=cj_OPHizstY,0
bigsouthsports.com/ViewArticle.dbml?DB_OEM_ID=4800&ATCLID=205332310,0
hoovers.com/company/Lockheed_Martin_Aculight_Corporation/rysjshi-1.html,0
chicago.everyblock.com/streets/cullom-ave/1400-1499w/,0
lyricsbay.com/amazing_lyrics-kanye_west_f_young_jeezy.html,0
amazon.com/Consciousness-Plague-Paul-Levinson/dp/0765307545,0
mylife.com/zip-codes/46151/,0
english.turkcebilgi.com/Quebec+Route+133,0
chrischeneygear.com/guitars.html,0
econopaginas.com/kftx6100/,1
wrzscene.info/xena-warrior-princess-season-123456-dvdrip/,0
mankingpills.us/wp-includes/images/smilies/g/,1
noenoehawaii.com/wp-content/plugins/jetpack/modules/post-by-email/d/others?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=,1
asvic.org/MUTM/verification.php,1
waswilhegar.com/bukhlo/gate.php,1
japereznow.com/bdbvcvbndbfnn/mn/index.htm,1
granit-profi58.ru/admin/alibaba/index.php?email=abuse@acsud.com,1
a1d4m.kfj.cc:1611/a1d4m24,1
kbdacfcdfcadcnbb.com /,1
undisputedfightmag.com/?p=897,0
rpt.perrydale.com/en/show.swf,1
gospelflava.com/reviews/sheilae.html,0
tecnicana.org/Administrar/Calendario/av/ac/ad/ba8804a679dde0b413a76b6fb6ef4d78,1
portal.donpollo.cl/media/system/swf/redirect-.html,1
steelbuildingsupply.com/zwgi/dropbox2016/Home/,1
atlednadint.ru/sliva/gate.php,1
law.umkc.edu/faculty/projects/ftrials/firstamendment/tinker.html,0
amazon.com/Hierarchical-Modelling-Environmental-Sciences-James/dp/0198569661,0
sites.google.com/site/fivegateways/alphabetical-index-s/salkeld,0
smarturl.it/a-x3,1
answers.yahoo.com/question/index?qid=20100624200338AAnC6Q9,0
mylife.com/c-685972845,0
youtube.com/watch?v=1gvgvVuyAic,0
absoluteastronomy.com/topics/Mark_Lutz_(actor),0
indeed.com/cmp/Snc--lavalin,0
mopioneers.mogenweb.org/pionor.html,0
