region_id,period,year,month,orders,promo,avg_order_value,avg_parcel_weight_kg,return_rate
R001,2023-01,2023,1,63942,1,1272.0,1.75,0.093
R001,2023-02,2023,2,50567,0,1188.0,2.16,0.07
R001,2023-03,2023,3,60810,0,1058.0,1.47,0.091
R001,2023-04,2023,4,68666,1,1208.0,0.88,0.061
R001,2023-05,2023,5,53224,0,1182.0,2.08,0.121
R001,2023-06,2023,6,60108,1,1327.0,1.62,0.101
R001,2023-07,2023,7,59157,0,939.0,1.02,0.096
R001,2023-08,2023,8,68433,0,1143.0,1.32,0.125
R001,2023-09,2023,9,61785,0,1291.0,1.57,0.109
R001,2023-10,2023,10,98141,1,1158.0,1.65,0.082
R001,2023-11,2023,11,91959,1,1158.0,2.18,0.118
R001,2023-12,2023,12,65221,0,1142.0,2.3,0.155
R001,2024-01,2024,1,70664,0,1028.0,2.07,0.078
R001,2024-02,2024,2,68458,1,1223.0,1.7,0.101
R001,2024-03,2024,3,65730,0,902.0,1.59,0.152
R001,2024-04,2024,4,80628,1,1252.0,1.85,0.135
R001,2024-05,2024,5,66798,0,1182.0,2.02,0.09
R001,2024-06,2024,6,72169,1,1023.0,2.3,0.092
R001,2024-07,2024,7,64308,0,1251.0,2.05,0.091
R001,2024-08,2024,8,79417,0,1429.0,0.99,0.12
R001,2024-09,2024,9,67016,0,1307.0,0.82,0.141
R001,2024-10,2024,10,101568,1,1213.0,1.28,0.136
R001,2024-11,2024,11,99568,1,1205.0,1.25,0.062
R001,2024-12,2024,12,81391,1,1065.0,0.85,0.066
R001,2025-01,2025,1,75114,0,1118.0,1.85,0.051
R001,2025-02,2025,2,61948,0,870.0,1.18,0.056
R001,2025-03,2025,3,74085,0,1309.0,1.92,0.054
R001,2025-04,2025,4,83605,1,1161.0,1.99,0.144
R001,2025-05,2025,5,70419,0,1246.0,1.23,0.158
R001,2025-06,2025,6,74317,1,1134.0,0.87,0.128
R001,2025-07,2025,7,83688,1,1071.0,2.37,0.136
R001,2025-08,2025,8,86080,0,1109.0,2.31,0.114
R001,2025-09,2025,9,82934,0,1134.0,1.04,0.094
R001,2025-10,2025,10,122351,1,1279.0,1.24,0.097
R001,2025-11,2025,11,116322,1,959.0,1.45,0.115
R001,2025-12,2025,12,90287,1,1283.0,1.56,0.113
R002,2023-01,2023,1,117527,0,1109.0,1.31,0.11
R002,2023-02,2023,2,117294,0,1322.0,1.62,0.148
R002,2023-03,2023,3,110241,0,1202.0,2.08,0.142
R002,2023-04,2023,4,116229,0,1204.0,1.25,0.069
R002,2023-05,2023,5,113908,0,971.0,2.12,0.091
R002,2023-06,2023,6,100530,0,1085.0,1.38,0.16
R002,2023-07,2023,7,124585,0,1114.0,1.93,0.12
R002,2023-08,2023,8,138540,0,1067.0,1.06,0.142
R002,2023-09,2023,9,119735,0,1127.0,2.38,0.099
R002,2023-10,2023,10,199443,1,1338.0,1.49,0.067
R002,2023-11,2023,11,190955,1,1226.0,1.17,0.104
R002,2023-12,2023,12,127167,0,1051.0,1.19,0.12
R002,2024-01,2024,1,145294,0,1029.0,0.89,0.109
R002,2024-02,2024,2,133290,0,1394.0,2.03,0.106
R002,2024-03,2024,3,132338,0,1043.0,1.34,0.094
R002,2024-04,2024,4,137256,0,1239.0,1.34,0.053
R002,2024-05,2024,5,147787,0,1142.0,1.76,0.081
