state,district,lat,lng,crime_rate,risk_score,risk_tier
ANDHRA PRADESH,ANANTAPUR,14.6783221,77.6065039,440.5833333333333,36.97,medium
ANDHRA PRADESH,CHITTOOR,13.325036,79.6480611,667.0,55.98,high
ANDHRA PRADESH,CUDDAPAH,14.4956602,78.8349278,416.8333333333333,34.98,medium
ANDHRA PRADESH,EAST GODAVARI,16.9956639,81.7154378,792.8333333333334,66.54,high
ANDHRA PRADESH,GUNTUR,16.2915189,80.4541588,1032.5,86.65,high
ANDHRA PRADESH,KHAMMAM,17.0786014,81.2610665,876.5,73.56,high
ANDHRA PRADESH,KRISHNA,16.2135466,81.0277844,895.1666666666666,75.12,high
ANDHRA PRADESH,KURNOOL,15.8309251,78.0425373,820.8333333333334,68.89,high
ANDHRA PRADESH,NELLORE,14.4493717,79.9873763,729.5833333333334,61.23,high
ANDHRA PRADESH,NIZAMABAD,18.3019069,84.0237423,653.25,54.82,high
ANDHRA PRADESH,PRAKASHAM,17.0070088,81.7879635,541.9166666666666,45.48,high
ANDHRA PRADESH,RANGA REDDY,16.2975093,80.4627202,332.25,27.88,medium
ANDHRA PRADESH,SRIKAKULAM,18.2949307,83.8938844,388.0833333333333,32.57,medium
ANDHRA PRADESH,VIJAYAWADA,16.5115306,80.6160469,1059.0,88.87,high
ANDHRA PRADESH,VISAKHA RURAL,17.8153454,83.3574768,289.5,24.3,medium
ANDHRA PRADESH,VISAKHAPATNAM,17.6935526,83.2921297,537.6666666666666,45.12,high
ANDHRA PRADESH,VIZIANAGARAM,18.1141255,83.4114389,393.6666666666667,33.04,medium
ANDHRA PRADESH,WEST GODAVARI,16.6443029,81.5885247,1191.5833333333333,100.0,high
ARUNACHAL PRADESH,CHANGLANG,27.2698797,96.0602442,14.0,1.17,low
ARUNACHAL PRADESH,DIBANG VALLEY,28.8291044,95.9554096,9.916666666666666,0.83,low
ARUNACHAL PRADESH,KAMENG EAST,27.557781,93.0753012,8.833333333333334,0.74,low
ARUNACHAL PRADESH,KAMENG WEST,27.2629657,92.4206538,4.333333333333333,0.36,low
ARUNACHAL PRADESH,LOHIT,28.0350162,96.1713515,15.916666666666666,1.34,low
ARUNACHAL PRADESH,PAPUM PARE,27.2863667,93.6187716,27.583333333333332,2.31,low
ARUNACHAL PRADESH,SIANG EAST,28.0580363,95.3322182,23.416666666666668,1.97,low
ARUNACHAL PRADESH,SIANG UPPER,29.1113601,95.3809335,5.833333333333333,0.49,low
ARUNACHAL PRADESH,SIANG WEST,28.4159693,94.6778789,23.666666666666668,1.99,low
ARUNACHAL PRADESH,SUBANSIRI LOWER,27.5384467,93.81462,7.583333333333333,0.64,low
ARUNACHAL PRADESH,SUBANSIRI UPPER,28.2596054,94.0938106,11.416666666666666,0.96,low
ARUNACHAL PRADESH,TAWANG,27.5879186,91.863733,3.5,0.29,low
ARUNACHAL PRADESH,TIRAP,27.030169,95.4979175,6.083333333333333,0.51,low
ASSAM,BARPETA,26.345941,91.039708,429.1666666666667,36.02,medium
ASSAM,BONGAIGAON,26.4800126,90.5580387,193.08333333333334,16.2,low
ASSAM,CACHAR,24.75864,92.8816648,612.9166666666666,51.44,high
ASSAM,DARRANG,26.4373481,92.0047145,406.0833333333333,34.08,medium
ASSAM,DHEMAJI,27.5945155,94.7192098,221.75,18.61,medium
ASSAM,DHUBRI,26.132275,90.1249962,745.0,62.52,high
ASSAM,DIBRUGARH,27.4844597,94.9019447,230.91666666666666,19.38,medium
ASSAM,GOALPARA,26.0491877,90.6001859,322.0,27.02,medium
ASSAM,GOLAGHAT,26.5108262,93.9743686,275.9166666666667,23.16,medium
ASSAM,GUWAHATI CITY,26.1805978,91.753943,502.5833333333333,42.18,medium
ASSAM,HAILAKANDI,24.6846916,92.5645836,167.66666666666666,14.07,low
ASSAM,JORHAT,26.7577925,94.2079645,216.0,18.13,medium
ASSAM,KAMRUP,26.1468861,91.2227397,267.9166666666667,22.48,medium
ASSAM,KARBI ANGLONG,26.0712781,93.4552969,59.0,4.95,low
ASSAM,KARIMGANJ,24.5828196,92.3725487,194.33333333333334,16.31,low
ASSAM,KOKRAJHAR,26.4912104,90.1215209,165.91666666666666,13.92,low
ASSAM,LAKHIMPUR,27.1763356,94.1992932,326.75,27.42,medium
ASSAM,MORIGAON,26.252165,92.3421071,235.75,19.78,medium
ASSAM,NAGAON,26.3313646,92.7524763,849.25,71.27,high
ASSAM,NALBARI,26.3533632,91.3983662,171.58333333333334,14.4,low
ASSAM,SIBSAGAR,26.9834936,94.6394226,298.8333333333333,25.08,medium
ASSAM,SONITPUR,26.7677707,92.7014089,441.25,37.03,medium
ASSAM,TINSUKIA,27.4879722,95.3601855,208.0,17.46,low
BIHAR,ARARIA,26.1346459,87.4654062,160.75,13.49,low
BIHAR,ARWAL,25.1812832,84.6596648,34.916666666666664,2.93,low
BIHAR,AURANGABAD,24.8033201,84.4110198,144.75,12.15,low
BIHAR,BAGAHA,27.0590112,84.2064638,78.75,6.61,low
BIHAR,BANKA,24.8328273,86.8161114,111.91666666666667,9.39,low
BIHAR,BEGUSARAI,25.5125411,86.0883392,148.33333333333334,12.45,low
BIHAR,BETTIAH,26.8023,84.5074,197.08333333333334,16.54,low
BIHAR,BHAGALPUR,25.2861354,87.1304229,208.0,17.46,low
BIHAR,BHOJPUR,25.4501182,84.5635193,205.41666666666666,17.24,low
BIHAR,BUXAR,25.5044834,84.1097525,115.5,9.69,low
BIHAR,DARBHANGA,26.0829899,86.0324951,321.8333333333333,27.01,medium
BIHAR,GAYA,24.7964355,85.0079563,198.16666666666666,16.63,low
BIHAR,GOPALGANJ,26.4211166,84.3739133,212.0,17.79,low
BIHAR,JAMUI,24.7562514,86.3011128,112.25,9.42,low
BIHAR,JEHANABAD,25.1529579,85.0065043,69.25,5.81,low
BIHAR,KATIHAR,25.5586421,87.6457196,228.08333333333334,19.14,medium
BIHAR,KHAGARIA,25.4930513,86.6982264,71.75,6.02,low
BIHAR,KISHANGANJ,26.2984144,87.9466715,134.33333333333334,11.27,low
BIHAR,LAKHISARAI,25.1543938,86.1744959,68.0,5.71,low
BIHAR,MADHEPURA,25.7806118,86.9364753,71.25,5.98,low
BIHAR,MADHUBANI,26.3503076,86.2296424,276.25,23.18,medium
BIHAR,MOTIHARI,26.6506888,84.9114654,243.16666666666666,20.41,medium
BIHAR,MUNGER,25.2202864,86.5161484,97.25,8.16,low
BIHAR,MUZAFFARPUR,26.1482548,85.3316097,352.0833333333333,29.55,medium
BIHAR,NALANDA,25.1364914,85.4436546,245.25,20.58,medium
BIHAR,NAUGACHIA,25.3857731,87.0997616,62.75,5.27,low
BIHAR,NAWADAH,24.8858896,85.5481255,104.33333333333333,8.76,low
BIHAR,PATNA,25.6093239,85.1235252,494.25,41.48,medium
BIHAR,PURNEA,25.7773312,87.4731227,195.83333333333334,16.43,low
BIHAR,ROHTAS,24.9394143,84.0197031,174.41666666666666,14.64,low
BIHAR,SAHARSA,25.8330757,86.6143751,96.0,8.06,low
BIHAR,SAMASTIPUR,25.7747885,85.8672314,190.41666666666666,15.98,low
BIHAR,SARAN,25.9214451,84.7759731,279.9166666666667,23.49,medium
BIHAR,SHEIKHPURA,25.1250741,85.8160771,40.25,3.38,low
BIHAR,SHEOHAR,26.4934234,85.2717561,36.833333333333336,3.09,low
BIHAR,SITAMARHI,26.5942841,85.500428,158.0,13.26,low
BIHAR,SIWAN,26.131008,84.3910745,192.16666666666666,16.13,low
BIHAR,SUPAUL,26.2768089,86.7959614,110.16666666666667,9.25,low
BIHAR,VAISHALI,25.7491703,85.3972164,308.8333333333333,25.92,medium
CHHATTISGARH,BALRAMPUR,23.6282576,83.4810916,106.16666666666667,8.91,low
CHHATTISGARH,BILASPUR,22.1638486,82.1365923,393.6666666666667,33.04,medium
CHHATTISGARH,DANTEWARA,18.9080594,81.3557636,33.75,2.83,low
CHHATTISGARH,DHAMTARI,20.5326259,81.7155987,111.66666666666667,9.37,low
CHHATTISGARH,DURG,21.1982964,81.4007922,547.8333333333334,45.98,high
CHHATTISGARH,JAGDALPUR,19.0870758,82.0235715,140.66666666666666,11.81,low
CHHATTISGARH,JANJGIR,22.0090841,82.578896,263.75,22.13,medium
CHHATTISGARH,JASHPUR,22.770251,83.9708013,141.25,11.85,low
CHHATTISGARH,KANKER,20.2692747,81.4932111,75.58333333333333,6.34,low
