state,district,lat,lng
ANDHRA PRADESH,ANANTAPUR,14.6783221,77.6065039
ANDHRA PRADESH,CHITTOOR,13.325036,79.6480611
ANDHRA PRADESH,CUDDAPAH,14.4956602,78.8349278
ANDHRA PRADESH,EAST GODAVARI,16.9956639,81.7154378
ANDHRA PRADESH,GUNTUR,16.2915189,80.4541588
ANDHRA PRADESH,KHAMMAM,17.0786014,81.2610665
ANDHRA PRADESH,KRISHNA,16.2135466,81.0277844
ANDHRA PRADESH,KURNOOL,15.8309251,78.0425373
ANDHRA PRADESH,NELLORE,14.4493717,79.9873763
ANDHRA PRADESH,NIZAMABAD,18.3019069,84.0237423
ANDHRA PRADESH,PRAKASHAM,17.0070088,81.7879635
ANDHRA PRADESH,RANGA REDDY,16.2975093,80.4627202
ANDHRA PRADESH,SRIKAKULAM,18.2949307,83.8938844
ANDHRA PRADESH,VIJAYAWADA,16.5115306,80.6160469
ANDHRA PRADESH,VISAKHA RURAL,17.8153454,83.3574768
ANDHRA PRADESH,VISAKHAPATNAM,17.6935526,83.2921297
ANDHRA PRADESH,VIZIANAGARAM,18.1141255,83.4114389
ANDHRA PRADESH,WEST GODAVARI,16.6443029,81.5885247
ARUNACHAL PRADESH,CHANGLANG,27.2698797,96.0602442
ARUNACHAL PRADESH,DIBANG VALLEY,28.8291044,95.9554096
ARUNACHAL PRADESH,KAMENG EAST,27.557781,93.0753012
ARUNACHAL PRADESH,KAMENG WEST,27.2629657,92.4206538
ARUNACHAL PRADESH,LOHIT,28.0350162,96.1713515
ARUNACHAL PRADESH,PAPUM PARE,27.2863667,93.6187716
ARUNACHAL PRADESH,SIANG EAST,28.0580363,95.3322182
ARUNACHAL PRADESH,SIANG UPPER,29.1113601,95.3809335
ARUNACHAL PRADESH,SIANG WEST,28.4159693,94.6778789
ARUNACHAL PRADESH,SUBANSIRI LOWER,27.5384467,93.81462
ARUNACHAL PRADESH,SUBANSIRI UPPER,28.2596054,94.0938106
ARUNACHAL PRADESH,TAWANG,27.5879186,91.863733
ARUNACHAL PRADESH,TIRAP,27.030169,95.4979175
ASSAM,BARPETA,26.345941,91.039708
ASSAM,BONGAIGAON,26.4800126,90.5580387
ASSAM,CACHAR,24.75864,92.8816648
ASSAM,DARRANG,26.4373481,92.0047145
ASSAM,DHEMAJI,27.5945155,94.7192098
ASSAM,DHUBRI,26.132275,90.1249962
ASSAM,DIBRUGARH,27.4844597,94.9019447
ASSAM,GOALPARA,26.0491877,90.6001859
ASSAM,GOLAGHAT,26.5108262,93.9743686
ASSAM,GUWAHATI CITY,26.1805978,91.753943
ASSAM,HAILAKANDI,24.6846916,92.5645836
ASSAM,JORHAT,26.7577925,94.2079645
ASSAM,KAMRUP,26.1468861,91.2227397
ASSAM,KARBI ANGLONG,26.0712781,93.4552969
ASSAM,KARIMGANJ,24.5828196,92.3725487
ASSAM,KOKRAJHAR,26.4912104,90.1215209
ASSAM,LAKHIMPUR,27.1763356,94.1992932
ASSAM,MORIGAON,26.252165,92.3421071
ASSAM,NAGAON,26.3313646,92.7524763
ASSAM,NALBARI,26.3533632,91.3983662
ASSAM,SIBSAGAR,26.9834936,94.6394226
ASSAM,SONITPUR,26.7677707,92.7014089
ASSAM,TINSUKIA,27.4879722,95.3601855
BIHAR,ARARIA,26.1346459,87.4654062
BIHAR,ARWAL,25.1812832,84.6596648
BIHAR,AURANGABAD,24.8033201,84.4110198
BIHAR,BAGAHA,27.0590112,84.2064638
BIHAR,BANKA,24.8328273,86.8161114
BIHAR,BEGUSARAI,25.5125411,86.0883392
BIHAR,BETTIAH,26.8023,84.5074
BIHAR,BHAGALPUR,25.2861354,87.1304229
BIHAR,BHOJPUR,25.4501182,84.5635193
BIHAR,BUXAR,25.5044834,84.1097525
BIHAR,DARBHANGA,26.0829899,86.0324951
BIHAR,GAYA,24.7964355,85.0079563
BIHAR,GOPALGANJ,26.4211166,84.3739133
BIHAR,JAMUI,24.7562514,86.3011128
BIHAR,JEHANABAD,25.1529579,85.0065043
BIHAR,KATIHAR,25.5586421,87.6457196
BIHAR,KHAGARIA,25.4930513,86.6982264
BIHAR,KISHANGANJ,26.2984144,87.9466715
BIHAR,LAKHISARAI,25.1543938,86.1744959
BIHAR,MADHEPURA,25.7806118,86.9364753
BIHAR,MADHUBANI,26.3503076,86.2296424
BIHAR,MOTIHARI,26.6506888,84.9114654
BIHAR,MUNGER,25.2202864,86.5161484
BIHAR,MUZAFFARPUR,26.1482548,85.3316097
BIHAR,NALANDA,25.1364914,85.4436546
BIHAR,NAUGACHIA,25.3857731,87.0997616
BIHAR,NAWADAH,24.8858896,85.5481255
BIHAR,PATNA,25.6093239,85.1235252
BIHAR,PURNEA,25.7773312,87.4731227
BIHAR,ROHTAS,24.9394143,84.0197031
BIHAR,SAHARSA,25.8330757,86.6143751
BIHAR,SAMASTIPUR,25.7747885,85.8672314
BIHAR,SARAN,25.9214451,84.7759731
BIHAR,SHEIKHPURA,25.1250741,85.8160771
BIHAR,SHEOHAR,26.4934234,85.2717561
BIHAR,SITAMARHI,26.5942841,85.500428
BIHAR,SIWAN,26.131008,84.3910745
BIHAR,SUPAUL,26.2768089,86.7959614
BIHAR,VAISHALI,25.7491703,85.3972164
CHHATTISGARH,BALRAMPUR,23.6282576,83.4810916
CHHATTISGARH,BILASPUR,22.1638486,82.1365923
CHHATTISGARH,DANTEWARA,18.9080594,81.3557636
CHHATTISGARH,DHAMTARI,20.5326259,81.7155987
CHHATTISGARH,DURG,21.1982964,81.4007922
CHHATTISGARH,JAGDALPUR,19.0870758,82.0235715
CHHATTISGARH,JANJGIR,22.0090841,82.578896
CHHATTISGARH,JASHPUR,22.770251,83.9708013
CHHATTISGARH,KANKER,20.2692747,81.4932111
CHHATTISGARH,KAWARDHA,22.0059254,81.2332055
CHHATTISGARH,KORBA,22.5198217,82.6350029
CHHATTISGARH,KORIYA,23.476254,82.4776374
CHHATTISGARH,MAHASAMUND,21.1922846,82.4890263
CHHATTISGARH,RAIGARH,22.2361795,83.3529534
CHHATTISGARH,RAIPUR,21.2380912,81.6336993
CHHATTISGARH,RAJNANDGAON,21.0684425,80.7970779
GOA,NORTH GOA,15.6038925,73.9967006
GOA,SOUTH GOA,15.3376121,73.9937035
GUJARAT,AHMEDABAD RURAL,22.5809103,72.9784557
GUJARAT,AHWA-DANG,20.7587262,73.6873533
GUJARAT,AMRELI,21.4176122,71.249609
GUJARAT,ANAND,22.4739858,72.7361779
GUJARAT,BHARUCH,21.7080427,72.9956936
GUJARAT,BHAVNAGAR,21.7718836,72.1416449
GUJARAT,DAHOD,22.9194099,74.1342725
GUJARAT,GANDHINAGAR,23.2232877,72.6492267
GUJARAT,HIMATNAGAR,23.5971246,72.9588273
GUJARAT,JAMNAGAR,22.4732415,70.0552102
GUJARAT,JUNAGADH,21.5220416,70.4582458
GUJARAT,KUTCH,23.583333,70.0
GUJARAT,MEHSANA,23.6012628,72.3741516
GUJARAT,NARMADA,21.7392624,73.6262458
GUJARAT,NAVSARI,20.952407,72.9323831
GUJARAT,PALANPUR,24.1709794,72.4366375
GUJARAT,PANCHMAHAL,22.6978099,73.5980682
GUJARAT,PATAN,23.773753,71.6798581
GUJARAT,PORBANDAR,21.6505229,69.6565371
GUJARAT,SURAT RURAL,22.296681,73.2535718
GUJARAT,SURENDRANAGAR,22.8251395,71.6209736
GUJARAT,VADODARA RURAL,22.3108115,73.1657755
GUJARAT,VALSAD,20.4321957,73.1409893
HARYANA,AMBALA,30.3843674,76.770421
HARYANA,BHIWANI,28.7931703,76.1391283
HARYANA,FARIDABAD,28.4031478,77.3105561
HARYANA,FATEHABAD,29.5359209,75.5752901
HARYANA,GURGAON,28.4646148,77.0299194
HARYANA,HISSAR,29.839171,76.4373052
HARYANA,JHAJJAR,28.5964461,76.6505366
HARYANA,JIND,29.3152073,76.314082
HARYANA,KAITHAL,29.7996588,76.3989903
HARYANA,KARNAL,29.7255766,76.9106924
HARYANA,KURUKSHETRA,29.9693747,76.8482787
HARYANA,MAHENDRAGARH,28.1326971,76.1697448
HARYANA,PANCHKULA,30.6975401,76.8551066
HARYANA,PANIPAT,29.3912753,76.9771675
HARYANA,REWARI,28.1956468,76.6165179
HARYANA,ROHTAK,28.9010899,76.5801935
HARYANA,SIRSA,29.6063041,74.9036568
HARYANA,SONIPAT,28.9953758,77.0233627
HARYANA,YAMUNANAGAR,30.1231349,77.286329
HIMACHAL PRADESH,BILASPUR,31.3380959,76.7611631
HIMACHAL PRADESH,CHAMBA,32.6923316,76.1631552
HIMACHAL PRADESH,HAMIRPUR,31.6539866,76.5403633
HIMACHAL PRADESH,KANGRA,32.0768665,76.2985872
HIMACHAL PRADESH,KINNAUR,31.593013,78.3281417
HIMACHAL PRADESH,KULLU,31.9578974,77.1089232
HIMACHAL PRADESH,LAHAUL-SPITI,32.509934,77.0243657
HIMACHAL PRADESH,MANDI,31.6516617,77.0092542
HIMACHAL PRADESH,SHIMLA,31.1040393,77.1707923
HIMACHAL PRADESH,SIRMAUR,30.6991321,77.4465304
HIMACHAL PRADESH,SOLAN,30.9077569,77.1023645
HIMACHAL PRADESH,UNA,31.5834642,76.2351452
JAMMU & KASHMIR,ANANTNAG,33.74611,75.1854475
JAMMU & KASHMIR,AWANTIPORA,33.91891,75.01465
JAMMU & KASHMIR,BARAMULLA,34.2086903,74.343498
JAMMU & KASHMIR,BORDER,32.7514328,74.8235121
JAMMU & KASHMIR,BUDGAM,33.9098746,74.6270357
JAMMU & KASHMIR,CRIME JAMMU,34.0714255,74.8032176
JAMMU & KASHMIR,CRIME SRINAGAR,34.0714255,74.8032176
JAMMU & KASHMIR,DODA,33.1341373,75.587915
JAMMU & KASHMIR,GANDERBAL,34.2889322,75.0407983
JAMMU & KASHMIR,JAMMU,32.7185614,74.8580917
JAMMU & KASHMIR,KARGIL,32.7045476,74.871206
JAMMU & KASHMIR,KATHUA,32.3765524,75.5243044
JAMMU & KASHMIR,KULGAM,33.6446899,75.0188432
JAMMU & KASHMIR,KUPWARA,34.5140696,74.191367
JAMMU & KASHMIR,LEH,34.0861163,74.8233795
JAMMU & KASHMIR,POONCH,33.7670004,74.0957143
JAMMU & KASHMIR,PULWAMA,33.9490472,75.0418335
JAMMU & KASHMIR,RAJOURI,33.3772495,74.3132332
JAMMU & KASHMIR,RAMBAN,33.2116371,75.2050989
JAMMU & KASHMIR,REASI,33.0691032,74.8378698
JAMMU & KASHMIR,SRINAGAR,34.0747444,74.8204443
JAMMU & KASHMIR,UDHAMPUR,32.9219726,75.1331482
JHARKHAND,BOKARO,23.6991279,85.9910689
JHARKHAND,CHAIBASA,22.5483518,85.8188876
JHARKHAND,CHATRA,24.1062316,84.8623379
JHARKHAND,DEOGHAR,24.4898318,86.6990182
JHARKHAND,DHANBAD,23.7952809,86.4309638
JHARKHAND,DUMKA,24.2677937,87.2485495
JHARKHAND,GARHWA,24.053577,83.6526818
JHARKHAND,GIRIDIH,24.3314546,86.1548117
JHARKHAND,GODDA,24.8645886,87.2984838
JHARKHAND,GUMLA,23.1603759,84.4599565
JHARKHAND,HAZARIBAGH,24.0866962,85.4912231
JHARKHAND,JAMSHEDPUR,22.8015194,86.2029579
JHARKHAND,JAMTARA,23.9801639,86.9243637
JHARKHAND,KODERMA,24.4931239,85.5560811
JHARKHAND,LATEHAR,23.6880057,84.4969551
JHARKHAND,PAKUR,24.5325908,87.593232
JHARKHAND,PALAMU,24.2212983,84.1725565
JHARKHAND,RANCHI,23.3700501,85.3250387
JHARKHAND,SAHEBGANJ,25.0320437,87.691764
JHARKHAND,SARAIKELA,22.7464225,85.9168929
JHARKHAND,SIMDEGA,22.5904573,84.5464805
KARNATAKA,BAGALKOT,16.1793224,75.6999315
KARNATAKA,BANGALORE RURAL,13.0010872,77.3361225
KARNATAKA,BELGAUM,15.8572666,74.5069343
KARNATAKA,BELLARY,15.1430224,76.9173277
KARNATAKA,BIDAR,18.0207297,77.2487204
KARNATAKA,BIJAPUR,16.8269911,75.7175387
KARNATAKA,CHAMARAJNAGAR,11.8073312,76.6923569
KARNATAKA,CHITRADURGA,14.3049174,76.5296667
KARNATAKA,DAKSHIN KANNADA,13.1008396,77.585375
KARNATAKA,DAVANAGERE,14.2558835,75.8303421
KARNATAKA,DHARWAD RURAL,15.4719607,74.9893499
KARNATAKA,GADAG,15.416692,75.6815801
KARNATAKA,GULBARGA,17.3310003,76.8334228
KARNATAKA,HASSAN,13.0301852,76.1744968
KARNATAKA,HAVERI,14.7180268,75.3656423
KARNATAKA,K.G.F.,13.0812545,78.3588533
KARNATAKA,KODAGU,12.3827332,75.6640715
KARNATAKA,KOLAR,13.1805066,78.2669329
KARNATAKA,KOPPAL,15.5748238,76.3118494
KARNATAKA,MANDYA,12.6368939,76.7275477
KARNATAKA,MYSORE RURAL,13.1991952,77.7085698
KARNATAKA,RAICHUR,16.0547194,76.9003647
KARNATAKA,RAILWAYS,15.3552989,75.1459121
KARNATAKA,SHIMOGA,14.0556503,75.2380553
KARNATAKA,TUMKUR,13.3400771,77.1006208
KARNATAKA,UDUPI,13.5269784,74.8731879
KERALA,ALAPUZHA,9.5649344,76.5444815
KERALA,ERNAKULAM,9.9837257,76.2740001
