id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label,attack_cat
1936,3.2417465849933906,tcp,smtp,FIN,7,7,281,1816,12044.470816316563,94,148,82283.25795338531,2107.823025132602,1,0,24.383432974695783,269.6745243479745,1.8835028603538093,8.746665560960457,39622,1174053011,1564980654,57591,0.24705733419581752,0.03149530470361422,0.13250747684965233,50,300,0,227,4,0,1,2,1,1,0,0,1,1,2,0,1,Generic
6495,1.9956986706092026,icmp,dns,CON,28,13,6829,50,39720.83000177253,88,243,93793.70840199452,149915.3391367269,0,1,0.24293402713188778,71.99570004144013,2.9746927447655334,8.012601118868318,17715,1328378916,1357395744,41221,0.20578716053508928,0.0014678943040508778,0.021914095949597714,262,62,0,780,6,0,11,12,6,8,0,1,1,6,8,0,1,Worms
1721,0.06523059802037355,tcp,http,CON,11,6,755,805,8156.518388751676,41,48,131583.02354120562,48590.67400316821,1,0,43.92579938323774,60.39489991566456,7.867429919003831,7.257891728461361,9458,1159257087,141455649,565,0.0297178160470569,0.020393194649037515,0.0054427016681287315,206,131,2,179,1,0,1,1,1,1,0,0,2,6,1,0,0,Normal
9121,2.4566167092277458,tcp,dns,FIN,17,14,199,4339,24466.8094113165,192,179,237209.17868216496,167712.469082169,3,0,28.169212975102422,16.18303534148648,3.3949158860170128,0.4905707030209655,46648,202605509,25792933,12531,0.20013025315938082,0.021120391250519274,0.008043471256197771,50,352,0,786,9,0,10,6,9,4,0,0,3,7,5,0,1,Worms
361,2.0499061712653996,tcp,dns,FIN,5,7,866,50,2863.9918860672115,251,65,194614.65895512304,72009.77592832988,1,1,279.6039150966342,263.35820452648204,4.585571737703835,18.966247796449565,36786,645127798,780265957,45608,0.024904094763130893,0.0012955115624537434,0.03368928828046097,213,50,1,182,1,0,3,2,1,1,0,0,2,5,5,0,0,Normal
9664,0.8338460824761416,tcp,http,FIN,25,9,1941,1557,22989.158567722887,34,247,163976.13197261898,500.0,1,0,9.978200827746196,59.51160410180176,14.726910802594166,9.345685793874868,25527,867698845,1737751444,4251,0.15099876406057022,0.3212008429649707,0.03120109556278283,50,160,2,781,7,0,4,9,6,3,0,0,4,4,8,0,1,Reconnaissance
5278,0.31585874878074977,tcp,-,CON,7,3,477,325,19254.14572543774,231,36,172102.48969500867,60758.45904982912,0,3,198.6248400600152,152.50569298290299,26.758614877968707,1.081858752821985,27443,450855435,617214354,64551,0.08979183663933807,0.01111715748671992,0.04169686635905947,50,69,0,206,2,0,3,4,5,2,0,0,0,3,1,0,0,Normal
8547,1.3103460840514727,tcp,-,REQ,23,9,3332,2158,37424.54383932739,234,158,363917.57904449396,341905.33916573913,2,4,22.567641837941206,84.12092463233756,49.363753660354476,32.72192944634841,20192,1246986429,685383403,57227,0.11082626390071709,0.04194812231482894,0.2519551234963583,105,259,4,810,7,0,11,4,7,8,0,0,2,8,6,1,1,Generic
2222,0.7859775652018529,tcp,http,CON,4,8,100,1856,21257.299371313853,48,66,103989.31986974613,54740.370352073944,1,1,109.8752328711235,62.93033423045583,5.404252016898607,3.6207094128190622,41527,1287823014,450839309,26623,0.004269404143042427,0.03820471626762081,0.05884678314465708,50,227,1,202,1,0,1,3,1,1,0,0,1,3,3,0,0,Normal
4618,0.13517178717494,arp,http,CON,9,5,322,166,14742.114649897807,52,155,211430.04030229244,93930.15611101367,0,0,123.30311647446007,74.422152836943,0.3578101141708657,8.371691056601387,36361,1895473079,332596444,41718,0.046861046174374144,0.005671608337736529,0.06659630796406904,50,101,2,199,1,0,3,2,1,2,0,0,0,5,2,0,0,Normal
3466,0.8183779813811821,tcp,ssh,FIN,10,7,460,390,16720.710602058178,223,215,115791.32523750138,129429.48720583308,0,0,48.47746802304088,85.6288578822408,1.1319723001524877,30.764164034483432,5545,1713168150,534786503,65054,0.06017006837252541,0.016846223313939503,0.003524682964854863,50,76,1,193,1,0,3,1,1,1,0,0,2,1,3,0,0,Normal
1409,0.5853744540806308,icmp,ftp,CLO,7,4,328,426,11367.135091684511,223,153,57889.39671701791,149727.1328439299,1,0,2.584925348062549,34.94315748381268,14.985900144762205,26.343795298501817,58882,1315962041,1272136227,16506,0.13382113175083218,0.013793418912245727,0.023028853206620997,50,94,1,202,1,0,1,1,1,1,0,0,1,1,1,0,0,Normal
469,3.401453667571913,tcp,http,FIN,5,3,657,89,10.0,112,239,122160.60816514032,110732.40235176685,0,1,102.98784740810929,3.1351273132983164,1.0955023087649893,9.247464570215072,61398,1525403472,479469378,62365,0.06384720077300245,0.008327085629810079,0.014883274071515481,129,50,1,182,4,0,1,1,2,1,0,0,2,3,2,0,0,Normal
1176,0.03666087598291695,tcp,-,FIN,9,5,13223,136,24389.131112106425,98,23,37037.603179503065,53058.72226613925,0,1,106.19275349393189,57.71148295867476,7.237648090639031,66.41093276213056,3664,47726063,1336923543,61196,0.05845583465765754,0.005681612607276858,0.07152469776474224,1449,50,3,198,4,0,6,1,2,2,0,0,0,3,1,1,0,Normal
5225,1.324331597634858,tcp,http,FIN,7,4,727,158,11336.322085590302,84,129,113133.26337737049,165270.08897233085,0,0,138.1520233511452,160.33178007831674,18.031590017023976,7.485171221050578,55657,1916196976,549433306,29853,0.04110140931292718,0.048598673443532435,0.05063089636566912,95,50,1,208,2,0,2,2,1,1,0,0,1,1,2,0,0,Normal
8129,3.424302937665442,icmp,dns,PAR,29,14,800,1786,48157.24988790565,47,77,275186.4753258237,255122.6578714752,3,0,2.087182515566703,6.2925682290216285,9.439021110484441,8.580745774885331,49554,1610825376,958942461,1166,0.23912346075806143,0.04073514309591144,0.049156404531372856,50,50,3,781,10,0,6,5,6,5,0,0,0,7,7,0,1,Shellcode
425,1.0490829656521512,ospf,http,no,12,8,2565,208,19265.987865922103,151,242,1000.0,71090.30531307754,0,0,103.39307462204293,119.73415360410044,4.565760806970131,14.834779271528772,63528,1935742122,1669305999,21218,0.2156508019948281,0.007585368250123378,0.0025310194840961384,202,50,0,173,2,0,1,4,1,2,0,0,1,2,1,0,0,Normal
7048,1.360671913837764,tcp,ssl,FIN,29,7,1404,1344,54178.834191449685,81,55,394511.94891068904,367784.06637468527,3,1,0.6345117574252759,51.20246826882503,2.771226634168053,23.646834421714825,19984,1319406507,355682355,38165,0.011088234879771747,0.08146767755578309,0.02619647167012597,107,226,5,837,7,0,6,6,7,8,0,0,2,5,4,0,1,Generic
2484,1.0288092266884294,tcp,-,FIN,10,3,1105,2270,15407.083401270364,121,28,43226.51573204186,89568.44637190475,0,0,77.64474478297917,6.992849120419448,5.062494898817782,3.2887002809985937,36690,875656773,413876233,33235,0.0896155700147912,0.0159583595267907,0.004780862276674177,78,721,1,200,1,0,1,1,1,1,0,0,4,1,3,0,0,Normal
1826,1.2135032425273933,tcp,http,FIN,5,6,502,468,19830.30589994259,48,214,119508.68097985628,13680.456588155866,1,1,96.36069875270061,48.95188447645445,2.930882231800428,9.997976005875518,40072,1476395974,1402328675,36830,0.07751612136435586,0.02371492851108871,0.028545343700934558,144,124,1,217,2,0,3,1,5,1,0,0,0,1,1,0,0,Normal
10558,7.4815018200285595,tcp,ftp,ECO,20,9,532,718,46343.072779269234,69,69,345069.5173662286,265258.09188760445,1,3,5.142537257037619,30.3282772890345,56.51272075103664,50.58524180348142,8250,1705385068,1392528405,40311,0.08649177446038361,0.07251297319612914,0.08315436920849976,50,101,1,784,10,0,9,5,8,3,0,1,4,4,4,0,1,Shellcode
1484,0.5167779004016143,tcp,dns,FIN,14,1,966,450,32763.59719486081,109,27,9419.985636696641,500.0,0,0,54.605806099689396,62.909654726614114,31.041093742698212,4.79013678883272,55974,1897453962,1676377556,47994,0.04083279353464579,0.00429949230766428,0.017855793220042156,104,431,2,191,1,0,3,1,2,1,0,0,1,1,1,0,0,Normal
9291,0.96542628411386,udp,radius,RST,26,13,260,1874,42775.207841802105,33,230,318868.2340082036,181431.99951060567,2,1,64.72542054197692,29.22349630012203,15.230137799849995,36.00813254145785,48668,383943666,881776017,47197,0.14232590421810853,0.03671282800274053,0.0032628765507046647,50,144,1,752,5,0,10,7,5,8,0,1,2,5,6,1,1,Shellcode
